model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,overfit_gap
Stacking Ensemble,0.935554529488509,0.8152978291772165,0.2070709343647446,0.34394548133771125,0.1524460845382332,0.2570102373400729,0.12025670031129254
Random Forest Regressor,0.9628358565861761,0.8121281490296663,0.15724795545336498,0.3468841572594902,0.10937372859612307,0.2564347474904159,0.15070770755650975
XGBoost Regressor,0.8502819078728377,0.8114395446325516,0.31561678083110906,0.34751929093395567,0.24124192194021146,0.26356381342727325,0.038842363240286115
Neural Network Regressor,0.802119435169584,0.7370323577883638,0.3628478168866716,0.41039755479626494,0.2780397463101914,0.31625258177513066,0.0650870773812201
Decision Tree Regressor,0.8008497422853058,0.6949988536591997,0.3640100548980377,0.4419817570975988,0.27621173166944835,0.33429511579773785,0.10585088862610614
Lasso Regression,0.6336500945326167,0.624244123000065,0.4937089334687952,0.4905762275393383,0.3845477966446534,0.3836645128699303,0.009405971532551627
Ridge Regression,0.6336819172510205,0.6241040370450837,0.4936874901691952,0.49066766514493126,0.3845474019930957,0.38378111813118987,0.009577880205936862
Linear Regression,0.6336819179080511,0.6241030065409363,0.49368748972645465,0.4906683377176205,0.38454735958948844,0.3837815431165515,0.00957891136711475
Support Vector Regressor,0.6317465490645924,0.6220236726434587,0.49498992161547484,0.49202357103501904,0.3832370355192502,0.3829039707071174,0.009722876421133675
